"Apple-Rt","Aidriven.Learner","Nnrg.Hazel","Ogre","Luckylemming","Pires5600","The","Cluneplayer","Fluxplayer","Ggp_Remote_Agent","Jigsawbot","Entropy"
"971.6666666666666","971.6666666666666","971.6666666666666","1021.6666666666666","1051.6666666666667","1051.6666666666667","971.6666666666666","1063.452380952381","1118.452380952381","971.6666666666666","971.6666666666666","971.6666666666666"
"940.0","940.0","940.0","1040.0","1090.0","1100.0","940.0","1121.7857142857142","1176.7857142857142","940.0","940.0","940.0"
"977.5","927.5","927.5","1027.5","1077.5","1087.5","927.5","1109.2857142857142","1264.2857142857142","927.5","927.5","927.5"
"944.1666666666666","894.1666666666666","894.1666666666666","1034.1666666666667","1144.1666666666667","1154.1666666666667","894.1666666666666","1135.952380952381","1330.952380952381","894.1666666666666","894.1666666666666","894.1666666666666"
"958.3333333333333","838.3333333333333","938.3333333333333","1078.3333333333335","1188.3333333333335","1198.3333333333335","838.3333333333333","1180.1190476190477","1375.1190476190477","838.3333333333333","838.3333333333333","838.3333333333333"
"999.9999999999999","779.9999999999999","979.9999999999999","1120.0000000000002","1230.0000000000002","1240.0000000000002","779.9999999999999","1221.7857142857144","1416.7857142857144","779.9999999999999","779.9999999999999","779.9999999999999"
"949.9999999999999","729.9999999999999","1030.0","1170.0000000000002","1280.0000000000002","1290.0000000000002","729.9999999999999","1271.7857142857144","1466.7857142857144","729.9999999999999","729.9999999999999","729.9999999999999"
"949.9999999999999","729.9999999999999","1062.9090944474156","1219.62124282477","1255.7213018463983","1251.9974988330696","702.0973749082109","1209.5045149651817","1513.7935266881839","724.8601643030457","729.9999999999999","729.6559289919404"
"946.8187451758795","729.9999999999999","1032.9936255079824","1198.5044313357707","1295.444490097191","1192.6446487896458","689.6990690201336","1288.5146619938891","1530.7481137481188","712.4618584149684","729.9999999999999","729.6559289919404"
"946.8187451758795","729.9999999999999","1065.313316631324","1198.5044313357707","1296.246412103604","1192.6446487896458","677.5266052025494","1288.5146619938891","1530.7481137481188","712.4618584149684","729.9999999999999","729.6559289919404"
"916.1635026510069","729.9999999999999","1065.313316631324","1198.5044313357707","1308.5815178184496","1192.6446487896458","677.5266052025494","1288.5146619938891","1530.7481137481188","712.4618584149684","729.9999999999999","729.6559289919404"
"916.1635026510069","729.9999999999999","1042.3926954429442","1222.4703943091686","1262.0546597219645","1202.5075547884712","677.5266052025494","1288.5146619938891","1548.8650226263642","712.4618584149684","729.9999999999999","729.6559289919404"
"998.6409819765944","706.6308787932118","1042.3926954429442","1209.4256607840457","1225.900577674341","1227.3820255900496","661.2179463003548","1321.9022973931756","1582.3088477651675","700.7687978950389","729.9999999999999","711.5940238203881"
"1006.5280801946543","705.6681505597376","991.2215851438764","1248.5069471311208","1209.2613481201427","1281.0608482024215","658.5173635081894","1358.4217498743717","1580.2051569047694","700.6499594149526","729.9999999999999","709.5927659684522"
"1006.5280801946543","693.1681505597376","991.2215851438764","1261.0069471311208","1234.2613481201427","1293.5608482024215","633.5173635081894","1358.4217498743717","1605.2051569047694","688.1499594149526","729.9999999999999","684.5927659684522"
"1006.5280801946543","659.8348172264042","991.2215851438764","1286.0069471311208","1275.9280147868094","1285.2275148690883","566.8506968415228","1391.755083207705","1638.5384902381027","663.1499594149526","729.9999999999999","684.5927659684522"
"1006.5280801946543","659.8348172264042","1041.2215851438764","1319.340280464454","1242.5946814534761","1293.5608482024215","541.8506968415228","1408.4217498743717","1655.2051569047694","638.1499594149526","729.9999999999999","642.9260993017856"
"1006.5280801946543","659.8348172264042","1016.2215851438764","1369.340280464454","1192.5946814534761","1368.5608482024215","541.8506968415228","1458.4217498743717","1630.2051569047694","588.1499594149526","729.9999999999999","617.9260993017856"
"1006.5280801946543","659.8348172264042","1043.7950044279023","1339.4874300657157","1206.9418269663695","1396.7677648702174","541.8506968415228","1451.049696152","1603.143380876173","574.8706928136006","729.9999999999999","581.8636622973956"
"1006.5280801946543","659.8348172264042","1035.533365772768","1375.013223550411","1203.0797062075424","1450.6077276197884","525.4856382738949","1475.417135870305","1540.722025892051","529.3807244163863","729.9999999999999","581.8636622973956"
"993.9257852553812","659.8348172264042","1011.1271448802329","1335.4347548233554","1281.082390379541","1428.4859963296265","503.0328312719719","1533.8031205580905","1568.4424621140183","506.3849378948214","729.9999999999999","561.911866588158"
"954.991624078455","659.8348172264042","963.7487550841679","1392.3270224804373","1275.8651387613345","1460.693300584172","499.57001532010463","1524.5250816480088","1579.3277878179574","504.23606962200734","729.9999999999999","561.911866588158"
"1009.6708598028681","659.8348172264042","970.012457053637","1389.995735723654","1274.7686247971717","1463.8439514406364","491.3733225078644","1534.397736376713","1557.21532838457","504.23606962200734","729.9999999999999","516.3217847119636"
"1034.3788375832264","659.8348172264042","972.9516813535316","1396.883846582164","1285.8126254744636","1470.893552310426","505.6282891700254","1531.9952860811661","1556.8992060346993","464.9993905542546","729.9999999999999","491.3931552771285"
"1024.1750374903788","659.8348172264042","973.9923617045797","1381.8348513591654","1325.7863396948962","1493.063667691476","495.2182021529309","1531.9952860811661","1556.8992060346993","455.98991772438785","729.9999999999999","481.04280099650475"
"1071.6750374903788","659.8348172264042","991.4923617045797","1354.3348513591654","1363.2863396948962","1465.563667691476","467.7182021529309","1569.4952860811661","1584.3992060346993","413.48991772438785","729.9999999999999","438.54280099650475"
"1091.6750374903788","659.8348172264042","1011.4923617045797","1364.3348513591654","1383.2863396948962","1485.563667691476","417.7182021529309","1609.4952860811661","1614.3992060346993","363.48991772438785","729.9999999999999","388.54280099650475"
