"R1.Nnrg.Hazel_Queens_S.3357334759.180.120.3357392536","Nnrg.Hazel","Queens_S.3357334759","0"
"R1.Nnrg.Hazel_Hanoi_S.3357334769.300.45.3357392536","Nnrg.Hazel","Hanoi_S.3357334769","0"
"R1.Nnrg.Hazel_Pancakes_S.3357334777.1200.20.3357392536","Nnrg.Hazel","Pancakes_S.3357334777","100"
"R1.Nnrg.Hazel_Maze_S.3357334782.20.10.3357392536","Nnrg.Hazel","Maze_S.3357334782","100"
"R1.Nnrg.Hazel_Pancakes_S.3357334789.60.45.3357392536","Nnrg.Hazel","Pancakes_S.3357334789","100"
"R1.Luckylemming_Peg_S.3357334742.60.30.3357392536","Luckylemming","Peg_S.3357334742","80"
"R1.Luckylemming_Peg_S.3357334744.600.60.3357392536","Luckylemming","Peg_S.3357334744","70"
"R1.Luckylemming_Queens_S.3357334759.180.120.3357392536","Luckylemming","Queens_S.3357334759","0"
"R1.Luckylemming_Hanoi_S.3357334769.300.45.3357392536","Luckylemming","Hanoi_S.3357334769","100"
"R1.Luckylemming_Pancakes_S.3357334777.1200.20.3357392536","Luckylemming","Pancakes_S.3357334777","100"
"R1.Luckylemming_Maze_S.3357334782.20.10.3357392536","Luckylemming","Maze_S.3357334782","100"
"R1.Luckylemming_Pancakes_S.3357334789.60.45.3357392536","Luckylemming","Pancakes_S.3357334789","100"
"R1.The_Peg_S.3357334742.60.30.3357392536","The","Peg_S.3357334742","0"
"R1.The_Peg_S.3357334744.600.60.3357392536","The","Peg_S.3357334744","0"
"R1.The_Queens_S.3357334759.180.120.3357392536","The","Queens_S.3357334759","0"
"R1.The_Hanoi_S.3357334769.300.45.3357392536","The","Hanoi_S.3357334769","0"
"R1.The_Maze_S.3357334782.20.10.3357392536","The","Maze_S.3357334782","0"
"R1.The_Pancakes_S.3357334789.60.45.3357392536","The","Pancakes_S.3357334789","0"
"R1.Ggp_Remote_Agent_Peg_S.3357334742.60.30.3357392536","Ggp_Remote_Agent","Peg_S.3357334742","0"
"R1.Ggp_Remote_Agent_Queens_S.3357334759.180.120.3357392536","Ggp_Remote_Agent","Queens_S.3357334759","0"
"R1.Ggp_Remote_Agent_Hanoi_S.3357334769.300.45.3357392536","Ggp_Remote_Agent","Hanoi_S.3357334769","0"
"R1.Ggp_Remote_Agent_Pancakes_S.3357334777.1200.20.3357392536","Ggp_Remote_Agent","Pancakes_S.3357334777","0"
"R1.Ggp_Remote_Agent_Maze_S.3357334782.20.10.3357392536","Ggp_Remote_Agent","Maze_S.3357334782","0"
"R1.Ggp_Remote_Agent_Pancakes_S.3357334789.60.45.3357392536","Ggp_Remote_Agent","Pancakes_S.3357334789","0"
"R1.Ogre_Peg_S.3357334744.600.60.3357404725","Ogre","Peg_S.3357334744","50"
"Match.3357411357","Aidriven.Learner","Peg_S.3357334742","0"
"Match.3357411395","Jigsawbot","Peg_S.3357334742","0"
"Match.3357411418","Nnrg.Hazel","Peg_S.3357334744","0"
"Match.3357411448","Ggp_Remote_Agent","Peg_S.3357334744","0"
"Match.3357416409","Aidriven.Learner","Pancakes_S.3357334777","0"
"Match.3357416478","Jigsawbot","Pancakes_S.3357334789","0"
"Match.3357416550","The","Pancakes_S.3357334777","0"
"Match.3357416655","Entropy","Peg_S.3357334744","0"
"R1.Cluneplayervsfluxplayer_Chickentictactoe_S.3357418497.3357419637","Cluneplayer;Fluxplayer","Chickentictactoe_S.3357418497","0;100"
"R1.Ogrevspires5600_Chickentictactoe_S.3357418497.3357419637","Ogre;Pires5600","Chickentictactoe_S.3357418497","100;0"
"R1.Nnrg.Hazelvsluckylemming_Chickentictactoe_S.3357418497.3357419637","Nnrg.Hazel;Luckylemming","Chickentictactoe_S.3357418497","100;0"
"R1.Thevsaidriven.Learner_Chickentictactoe_S.3357418497.3357419637","The;Aidriven.Learner","Chickentictactoe_S.3357418497","0;0"
"R1.Cluneplayervspires5600_Chickentictactoe_S.3357418559.3357419637","Cluneplayer;Pires5600","Chickentictactoe_S.3357418559","100;0"
"R1.Ogrevsluckylemming_Chickentictactoe_S.3357418559.3357419637","Ogre;Luckylemming","Chickentictactoe_S.3357418559","0;100"
"R1.Nnrg.Hazelvsfluxplayer_Chickentictactoe_S.3357418559.3357419637","Nnrg.Hazel;Fluxplayer","Chickentictactoe_S.3357418559","0;100"
"R1.Apple-Rtvsentropy_Chickentictactoe_S.3357418559.3357419637","Apple-Rt;Entropy","Chickentictactoe_S.3357418559","0;0"
"R1.Cluneplayervsluckylemming_Nim_S.3357418060.3357419637","Cluneplayer;Luckylemming","Nim_S.3357418060","0;100"
"R1.Ogrevsnnrg.Hazel_Nim_S.3357418060.3357419637","Ogre;Nnrg.Hazel","Nim_S.3357418060","0;100"
"R1.Fluxplayervspires5600_Nim_S.3357418060.3357419637","Fluxplayer;Pires5600","Nim_S.3357418060","0;100"
"R1.Apple-Rtvsthe_Nim_S.3357418060.3357419637","Apple-Rt;The","Nim_S.3357418060","0;0"
"R1.Pires5600vsaidriven.Learner_Endgame_S.3357418328.3357419638","Pires5600;Aidriven.Learner","Endgame_S.3357418328","0;0"
"R1.Ogrevsthe_Endgame_S.3357418328.3357419638","Ogre;The","Endgame_S.3357418328","0;0"
"R1.Cluneplayervsapple-Rt_Endgame_S.3357418328.3357419638","Cluneplayer;Apple-Rt","Endgame_S.3357418328","0;0"
"R1.Nnrg.Hazelvsentropy_Endgame_S.3357418328.3357419638","Nnrg.Hazel;Entropy","Endgame_S.3357418328","0;0"
"R1.Aidriven.Learnervsogre_Nothello_S.3357334851.3357419638","Aidriven.Learner;Ogre","Nothello_S.3357334851","0;50"
"R1.Thevsfluxplayer_Nothello_S.3357334851.3357419638","The;Fluxplayer","Nothello_S.3357334851","0;100"
"R1.Entropyvsluckylemming_Nothello_S.3357334851.3357419638","Entropy;Luckylemming","Nothello_S.3357334851","0;0"
"R1.Apple-Rtvsnnrg.Hazel_Nothello_S.3357334851.3357419638","Apple-Rt;Nnrg.Hazel","Nothello_S.3357334851","0;0"
"R1.Aidriven.Learnervsfluxplayer_Racetrack_S.3357334838.3357419638","Aidriven.Learner;Fluxplayer","Racetrack_S.3357334838","0;100"
"R1.Thevspires5600_Racetrack_S.3357334838.3357419638","The;Pires5600","Racetrack_S.3357334838","0;100"
"R1.Entropyvscluneplayer_Racetrack_S.3357334838.3357419638","Entropy;Cluneplayer","Racetrack_S.3357334838","0;100"
"R1.Apple-Rtvsluckylemming_Racetrack_S.3357334838.3357419638","Apple-Rt;Luckylemming","Racetrack_S.3357334838","100;0"
"R1.Aidriven.Learnervsnnrg.Hazel_Racetrack_S.3357334841.3357419638","Aidriven.Learner;Nnrg.Hazel","Racetrack_S.3357334841","0;10"
"R1.Thevscluneplayer_Racetrack_S.3357334841.3357419638","The;Cluneplayer","Racetrack_S.3357334841","0;100"
"R1.Entropyvsogre_Racetrack_S.3357334841.3357419639","Entropy;Ogre","Racetrack_S.3357334841","0;100"
"R1.Apple-Rtvspires5600_Racetrack_S.3357334841.3357419639","Apple-Rt;Pires5600","Racetrack_S.3357334841","10;100"
"R1.Apple-Rt_Vs_Entropy_Chickentictactoe_S.3357418497.3357419637","Apple-Rt;Entropy","Chickentictactoe_S.3357418497","0;0"
"R1.Legal_Vs_Ggp_Remote_Agent_Chickentictactoe_S.3357418497.3357419637","Legal;Ggp_Remote_Agent","Chickentictactoe_S.3357418497","0;0"
"R1.The_Vs_Aidriven.Learner_Chickentictactoe_S.3357418559.3357419637","The;Legal","Chickentictactoe_S.3357418559","0;0"
"R1.Ggp_Remote_Agent_Vs_Legal_Chickentictactoe_S.3357418559.3357419637","Ggp_Remote_Agent;Legal","Chickentictactoe_S.3357418559","0;0"
"R1.The_Vs_Aidriven.Learner_Nim_S.3357418060.3357419637","Aidriven.Learner;Entropy","Nim_S.3357418060","0;0"
"R1.Ggp_Remote_Agent_Vs_Legal_Nim_S.3357418060.3357419637","Ggp_Remote_Agent;Legal","Nim_S.3357418060","0;0"
"R1.Luckylemmings_Vs_Fluxplayer_Endgame_S.3357418328.3357419637","Fluxplayer;Luckylemming","Endgame_S.3357418328","0;100"
"R1.Ggp_Remote_Agent_Vs_Legal_Endgame_S.3357418328.3357419637","Ggp_Remote_Agent;Legal","Endgame_S.3357418328","0;0"
"R1.Cluneplayer_Vs_Pires5600_Nothello_S.3357334851.3357419637","Cluneplayer;Pires5600","Nothello_S.3357334851","0;100"
"R1.Ggp_Remote_Agent_Vs_Legal_Nothello_S.3357334851.3357419637","Ggp_Remote_Agent;Legal","Nothello_S.3357334851","0;0"
"R1.Ogre_Vs_Nnrg.Hazel_Racetrack_S.3357334838.3357419637","Ogre;Nnrg.Hazel","Racetrack_S.3357334838","0;0"
"R1.Ggp_Remote_Agent_Vs_Legal_Racetrack_S.3357334838.3357419637","Ggp_Remote_Agent;Legal","Racetrack_S.3357334838","0;0"
"R1.Fluxplayer_Vs_Luckylemmings_Racetrack_S.3357334841.3357419637","Fluxplayer;Luckylemming","Racetrack_S.3357334841","0;0"
"R1.Ggp_Remote_Agent_Vs_Legal_Racetrack_S.3357334841.3357419637","Ggp_Remote_Agent;Legal","Racetrack_S.3357334841","0;0"
"R1.Cluneplayer.Chinesecheckers6_S.3357493185.3357495261","Cluneplayer;Fluxplayer;Luckylemming;Pires5600;Ogre;Nnrg.Hazel","Chinesecheckers6_S.3357493185","0;50;50;25;25;0"
