"U-TEXAS-LARG","Luckylemming","W-WOLFE","CADIA-PLAYER","ARY","Cluneplayer","Fluxplayer","Jigsawbot","THE-PIRATE"
"1014.0809181243674","1262.1019882158087","1014.0809181243674","1014.0809181243674","1014.0809181243674","2309.862832191706","2367.091138845768","746.7977589595416","914.0809181243674"
"1058.9793686938658","1296.7947743704694","958.9793686938657","1058.9793686938658","1058.9793686938658","2309.862832191706","2367.091138845768","702.6944776405683","863.0942063611151"
"1046.6043686938658","1284.4197743704694","946.6043686938657","1046.6043686938658","1046.6043686938658","2297.487832191706","2453.716138845768","690.3194776405683","863.0942063611151"
"998.3994446997876","1270.089487188101","932.2740815114972","1043.449903081406","1029.9803773297667","2278.2537879752313","2539.3858516633995","734.7728102704993","863.0942063611151"
"1007.4909213352015","1257.0058616517229","921.8949460470494","1012.1807137572999","1058.8190226338534","2287.0989783053396","2536.140465122708","745.9748348665145","863.0942063611151"
"1078.241760053491","1235.763062555233","828.9247954435879","1100.8475877050282","1077.8849028725372","2318.319649985367","2516.709269690757","669.914715413688","863.0942063611151"
"1123.0466466302587","1232.9517769474016","784.11990886682","1103.6588733128597","1103.7323184924585","2292.4722343654457","2528.226901698316","658.3970834061292","863.0942063611151"
"1077.8100417051385","1215.5475831025826","801.2313511569033","1068.500936979873","1109.402896026617","2300.9382115379763","2563.418680010774","691.5469157617695","863.0942063611151"
"1065.3100417051385","1215.5475831025826","801.2313511569033","1068.500936979873","1121.902896026617","2325.9382115379763","2563.418680010774","691.5469157617695","863.0942063611151"
"1147.7660310485855","1252.9529313070746","697.125785566818","1150.794547939917","1101.4789863430924","2344.2433132260408","2519.638867829774","693.0229753177496","809.4673840636976"
"1164.4803167628713","1252.9529313070746","640.8400712811036","1133.5088336542028","1118.1932720573782","2360.9575989403265","2536.3531535440598","699.7372610320352","809.4673840636976"
"1214.4374070208005","1254.4880271348923","590.9216709646591","1083.5517433962737","1120.1580754384856","2359.422503112509","2534.3883501629525","749.6556613484798","809.4673840636976"
"1222.4374070208005","1266.4880271348923","594.9216709646591","1091.5517433962737","1194.1580754384856","2359.422503112509","2617.3883501629525","775.6556613484798","809.4673840636976"
"1176.248197749321","1266.4880271348923","558.4715348991476","1147.5306272433","1247.5326580929054","2293.4947289089073","2647.4364846631474","798.8379339262792","809.4673840636976"
"1225.2738071589624","1310.6930751542302","440.4984293183361","1098.090313263538","1292.7502913616274","2293.4947289089073","2647.4364846631474","868.0245892784626","809.4673840636976"
"1270.1556643792603","1351.9037816404032","419.10837590416645","1148.438264819936","1234.7321431109056","2293.4947289089073","2647.4364846631474","828.2603093831883","809.4673840636976"
"1291.0285807513715","1321.4317631463307","403.98287677008165","1146.3136979468443","1231.1878536859049","2297.531485208767","2645.650126940803","856.4033683598113","809.4673840636976"
"1319.7906979120808","1299.431458309835","403.98287677008165","1146.3136979468443","1236.450599499587","2301.053482942505","2640.4423375540473","846.0646018749335","809.4673840636976"
"1430.4262440076193","1293.8820894465907","364.1652872866714","1051.109797795132","1283.0129313835607","2233.451639251498","2630.0330215386994","961.5285082865396","809.4673840636976"
"1452.4444652346576","1264.5003233440043","342.12858257034077","1083.3522069133423","1306.268495199668","2233.451639251498","2622.288427021963","945.6364893459802","809.4673840636976"
"1417.4966848276742","1176.1780144117813","337.48473678053347","1159.8464130115544","1411.3259960728","2210.0245574069777","2691.537572742954","891.0169838785935","809.4673840636976"
"1509.5777894611035","1075.9354737967478","337.48473678053347","1260.088953626588","1523.1874685362188","2098.163084943559","2714.7980411868216","867.7565154347261","809.4673840636976"
"1558.4836154491425","1027.3150358079188","289.6710252175996","1309.2673356928385","1474.0784265212787","2146.4259062083884","2664.387214651742","917.3635042173897","809.4673840636976"
"1520.9836154491425","989.8150358079188","252.1710252175996","1369.7673356928385","1436.5784265212787","2206.9259062083884","2724.887214651742","885.8635042173897","809.4673840636976"
"1508.4836154491425","977.3150358079188","239.6710252175996","1369.7673356928385","1424.0784265212787","2249.4259062083884","2724.887214651742","893.3635042173897","809.4673840636976"
"1447.33204442826","927.2510344957079","305.0045449581751","1411.5113170078348","1439.6887225457765","2272.807966102864","2738.344533883465","845.051900344215","809.4673840636976"
"1412.3610107070779","921.7917001369739","286.5325192484356","1477.0576537158504","1404.8280838111737","2325.9143148737603","2695.726986429334","862.7797948436922","809.4673840636976"
"1467.1691206151252","898.7563635425267","260.05945261677374","1530.790071324278","1380.7614415076482","2365.5330392297456","2629.1969428648536","854.7256320653466","809.4673840636976"
"1481.6008953783282","928.6748994008417","207.37968530299744","1543.4884534920177","1372.5474475340839","2365.5330392297456","2629.1969428648536","885.8438127429333","809.4673840636976"
"1398.6478512642618","962.899820283595","164.0133625659642","1535.612724760571","1358.9824089098647","2409.1185345638014","2609.5910900971408","975.3993835006028","809.4673840636976"
"1389.173162752257","955.7530950373263","161.13465047141364","1525.406307883717","1370.7196311493838","2429.245454172594","2593.6469945506387","989.1858799284712","809.4673840636976"
"1336.8200632135474","937.8099800957266","115.00118043021789","1618.8518808548124","1419.2146813399231","2381.1493350867536","2635.7119067798467","969.706148144974","809.4673840636976"
"1236.8753066203692","938.2496552940154","20.87673142367764","1718.2357609908317","1517.362992519376","2378.1532098907855","2530.9644044194515","1073.547114787295","809.4673840636976"
"1241.8839496014289","941.6188717362254","24.890225344292247","1757.3877366755983","1529.5920542606627","2378.0412069720505","2474.578183371962","1066.2729479835818","809.4673840636976"
"1150.1846591690035","1066.9314079193387","-68.33720091858503","1850.5033005045866","1447.211223913744","2470.667691103214","2354.7344837674955","1142.3696104870046","809.4673840636976"
"1206.5003472855522","1098.0670844528463","-132.53619119410104","1821.3193880224596","1466.3448812430772","2531.1456993147603","2318.3235809277066","1105.1003858935012","809.4673840636976"
"1298.2781595107683","1016.0437991194349","-152.10951219134648","1821.3193880224596","1545.323426620036","2531.1456993147603","2327.420741883699","1007.6157796259228","809.4673840636976"
"1262.5994455798063","965.3834960745032","-156.8226875218083","1923.5355519531242","1466.4450299575803","2611.0168273016347","2393.1748355180225","963.7751553378436","809.4673840636976"
"1164.5703211311607","958.1666050272062","-156.8226875218083","2010.2876198742285","1569.9154185604557","2502.826091571672","2396.460952200225","1024.3703356780888","809.4673840636976"
"1164.5703211311607","967.3800772656638","-164.8442899964254","2010.2876198742285","1587.3779414441524","2493.6126193332143","2404.4825546748425","1006.9078127943922","809.4673840636976"
"1268.4296861324672","851.8937340592003","-116.40960679120448","2072.5254956097747","1532.564662257369","2514.5339330664056","2397.252117635736","970.2993712895196","809.4673840636976"
"1191.2211570820764","795.6957167220806","-57.204391291538954","2149.7340246601657","1616.6276894563325","2455.32871756674","2453.4501349728557","886.2363440905561","809.4673840636976"
"1193.2558577354516","795.6957167220806","-59.23909194491418","2149.7340246601657","1620.900430076827","2455.32871756674","2449.1773943523613","886.2363440905561","809.4673840636976"
"1193.2558577354516","752.4831688823148","-59.23909194491418","2157.4402099159247","1620.900430076827","2572.742237560807","2367.2702369423014","886.2363440905561","809.4673840636976"
"1193.2558577354516","752.4831688823148","-59.23909194491418","2157.4402099159247","1620.900430076827","2572.742237560807","2367.2702369423014","886.2363440905561","809.4673840636976"
"1193.2558577354516","752.4831688823148","-59.23909194491418","2157.4402099159247","1620.900430076827","2572.742237560807","2367.2702369423014","886.2363440905561","809.4673840636976"
"1193.2558577354516","752.4831688823148","-59.23909194491418","2157.4402099159247","1620.900430076827","2572.742237560807","2367.2702369423014","886.2363440905561","809.4673840636976"
