"CADIA-PLAYER","Maligne","ARY","Cluneplayer","Fluxplayer","Monomaniac","Testplayer","Largplayer","Centurio"
"2159.316294968253","1018.7575588125223","1630.602044376417","2572.742237560807","2367.2702369423014","1018.7575588125223","918.7575588125223","1018.7575588125223","1018.7575588125223"
"2116.6702002535376","1053.4392882549234","1655.6239601827858","2586.190443908359","2374.641559061198","1063.4392882549234","893.8352914848161","1000.4392882549233","979.4392882549233"
"2133.486738852003","1085.9751283686633","1674.9205456174475","2550.4813525512964","2390.07042545537","1075.9213366527647","877.2296688836085","943.2602244629253","992.3731870663122"
"2097.179264965503","1119.2763485626747","1696.6348814154007","2554.969946277847","2397.71493620528","1109.4203546714002","835.6377374143541","979.3692109536423","933.515927444288"
"2106.891140854206","1159.856702685442","1668.990339175067","2554.969946277847","2397.940104701443","1150.3118230446773","785.1714264210984","924.3658730346281","979.9599940275278"
"2106.891140854206","1159.856702685442","1668.990339175067","2554.969946277847","2397.940104701443","1150.3118230446773","785.1714264210984","924.3658730346281","979.9599940275278"
"2104.516140854206","1172.481702685442","1681.615339175067","2567.594946277847","2410.565104701443","1137.9368230446773","736.7964264210984","936.9908730346281","979.9599940275278"
"2112.5388424781386","1136.906357891733","1706.1550435214665","2567.594946277847","2410.565104701443","1137.9368230446773","718.237400503173","990.6129633344791","961.9038631331798"
"2133.473162401129","1120.8375708710416","1756.0123988257312","2613.8540175567264","2393.691637624562","1160.158085810309","634.3914096316986","1007.062103197557","922.9709589673824"
"2204.2804712731195","1208.6766569001525","1712.454485815017","2681.4127954935493","2393.691637624562","1131.1197901074358","552.3846993046908","953.2136981294333","908.7418660471615"
"2276.979800481227","1249.3910760985457","1752.0549893124632","2686.3399257420956","2402.490926903363","1126.9623364004915","527.1245933875707","949.3658130797324","916.3657465575213"
"2282.102112140791","1242.3256780226516","1801.2411229404433","2681.078437523048","2402.490926903363","1082.1744534234592","496.4921021781605","927.6444135225883","940.1810456615506"
"2211.2334695665813","1161.7826709464694","1825.898418123951","2713.92197986932","2432.7424148088953","1100.141355524509","509.0096553976645","944.1735258416708","956.8268022369941"
"2217.0606113567555","1075.8652850575852","1834.7567862047297","2715.7947380063333","2436.8270633171614","1114.70886914112","528.227288290801","959.9679555772624","972.5216953643063"
"2261.5050558012","1020.3097295020297","1779.201230649174","2760.2391824507777","2481.271507761606","1159.1533135855643","472.6717327352454","904.4124000217068","1016.9661398087508"
"2305.9495002456442","964.7541739464741","1823.6456750936184","2804.683626895222","2525.71595220605","1103.5977580300087","417.1161771796899","948.8568444661513","961.4105842531952"
"2294.838389134533","953.643062835363","1812.5345639825073","2793.5725157841107","2614.604841094939","1092.4866469188976","406.0050660685788","937.7457333550402","950.2994731420841"
"2279.037732621891","906.0344474229207","1803.2759008975936","2771.0070044049394","2644.4668562883035","1092.994750124081","365.82464008526534","990.3527501220565","1002.7362103490028"
"2299.1016714982934","930.5465043479151","1808.5439599932722","2755.519206553598","2644.4668562883035","1088.4968901583475","365.82464008526534","963.0563515551316","1000.1742118359276"
"2310.011095563327","882.2563383476042","1833.361365818832","2755.519206553598","2645.5847052172667","1133.7286147870109","431.54511096565693","913.8444869424225","951.9100051405892"
"2353.3444288966607","827.5896716809376","1876.6946991521652","2798.8525398869315","2688.9180385506","1177.0619481203441","376.87844429899025","859.1778202757558","899.2433384739226"
"2353.3444288966607","826.2725789023946","1875.7977997166643","2798.8525398869315","2688.9180385506","1177.0619481203441","375.3808301689894","859.1778202757558","902.9549448179674"
"2357.228135514749","828.5659419892992","1854.1841733555887","2803.200213503302","2693.151222712493","1179.7206349502972","377.2046195577966","859.1778202757558","905.3281674770265"
"2321.1398216942725","823.9696675822437","1828.4590910914999","2813.9244086093986","2706.142542085854","1223.8902067336078","337.90686029418515","859.1778202757558","943.1505109694912"
"2275.5204748566753","786.084034639382","1794.598803316398","2828.543523918407","2723.3341414714487","1276.4594689224627","311.62233310593615","859.1778202757558","1002.4203288298422"
"2277.707950428605","790.4174887370118","1797.4791903492012","2829.9342044372156","2724.8764075627173","1255.0863905873632","316.639391146148","859.1778202757558","1006.4420858122903"
"2284.0880473442376","803.6200587826265","1806.0621843426247","2833.781138613837","2729.2052610514925","1191.1574394682375","332.01526790194714","859.1778202757558","1018.6537115555493"
"2284.0880473442376","803.6200587826265","1806.0621843426247","2821.281138613837","2729.2052610514925","1191.1574394682375","332.01526790194714","859.1778202757558","1031.1537115555493"
"2372.5227659258453","869.2003625371399","1909.619135927563","2773.517959515435","2707.510883673686","1075.7299814295372","297.59557165646044","795.2586857505556","1056.8055829200855"
"2377.4408199542195","978.9752074225697","1964.4883699465695","2692.635666888364","2728.605888253376","981.9006632251193","217.10047639789252","749.2886603227988","1167.3251769253984"
"2412.4408199542195","963.9752074225697","1964.4883699465695","2707.635666888364","2731.105888253376","981.9006632251193","214.60047639789252","714.2886603227988","1167.3251769253984"
"2424.9408199542195","921.4752074225697","1951.9883699465695","2750.135666888364","2728.605888253376","999.4006632251193","209.60047639789252","719.2886603227988","1169.8251769253984"
"2437.6098228723254","973.3625283579122","2032.276328968891","2776.9530010502995","2648.976113084633","1053.302267766877","183.4413260895353","719.2886603227988","1050.0508808230354"
"2482.282309715078","996.3602057819392","2018.9482691442513","2838.948862105785","2710.9719741401186","1014.407217790362","149.3765711513689","719.2886603227988","971.7597406126314"
"2504.3481560483906","1018.4260521152517","2094.610674540307","2764.415049559902","2670.2849430074552","991.9755753786878","149.3765711513689","719.2886603227988","971.7597406126314"
"2585.6651888232477","1018.4260521152517","2052.30501630356","2806.7207077966495","2588.967910232598","991.9755753786878","149.3765711513689","719.2886603227988","971.7597406126314"
"2552.168222877369","1018.4260521152517","2004.9007157913381","2892.047504742896","2651.7628510954055","928.6534156165311","149.3765711513689","719.2886603227988","971.7597406126314"
"2602.168222877369","1068.4260521152517","2004.9007157913381","2842.047504742896","2651.7628510954055","878.6534156165311","149.3765711513689","719.2886603227988","971.7597406126314"
