"Match.Aaai0821021","snake2x2",2008,2,1
"Match.Aaai0821022","snake2x2",2008,2,1
"Match.Aaai0821023","snake2x2",2008,2,1
"Match.Aaai0821024","snake2x2",2008,2,1
"Match.Aaai0821025","snake2x2",2008,2,1
"Match.Aaai0821026","snake2x2",2008,2,1
"Match.Aaai0821027","snake2x2",2008,2,1
"Match.Aaai0821028","snake2x2",2008,2,1
"Match.Aaai0821029","snake2x2",2008,2,1
"Match.Aaai0821031","lightsOn4x4",2008,2,1
"Match.Aaai0821032","lightsOn4x4",2008,2,1
"Match.Aaai0821033","lightsOn4x4",2008,2,1
"Match.Aaai0821034","lightsOn4x4",2008,2,1
"Match.Aaai0821035","lightsOn4x4",2008,2,1
"Match.Aaai0821036","lightsOn4x4",2008,2,1
"Match.Aaai0821037","lightsOn4x4",2008,2,1
"Match.Aaai0821038","lightsOn4x4",2008,2,1
"Match.Aaai0821039","lightsOn4x4",2008,2,1
"Match.Aaai0821041","snake4x4",2008,2,1
"Match.Aaai0821042","snake4x4",2008,2,1
"Match.Aaai0821043","snake4x4",2008,2,1
"Match.Aaai0821044","snake4x4",2008,2,1
"Match.Aaai0821045","snake4x4",2008,2,1
"Match.Aaai0821046","snake4x4",2008,2,1
"Match.Aaai0821047","snake4x4",2008,2,1
"Match.Aaai0821048","snake4x4",2008,2,1
"Match.Aaai0821049","snake4x4",2008,2,1
"Match.Aaai0821051","wargame03",2008,2,1
"Match.Aaai0821052","wargame03",2008,2,1
"Match.Aaai0821053","wargame03",2008,2,1
"Match.Aaai0821054","wargame03",2008,2,1
"Match.Aaai0821055","wargame03",2008,2,1
"Match.Aaai0821056","wargame03",2008,2,1
"Match.Aaai0821057","wargame03",2008,2,1
"Match.Aaai0821058","wargame03",2008,2,1
"Match.Aaai0821059","wargame03",2008,2,1
"Match.Aaai0821061","asteroidsParallel",2008,2,1
"Match.Aaai0821062","asteroidsParallel",2008,2,1
"Match.Aaai0821063","asteroidsParallel",2008,2,1
"Match.Aaai0821064","asteroidsParallel",2008,2,1
"Match.Aaai0821066","asteroidsParallel",2008,2,1
"Match.Aaai0821067","asteroidsParallel",2008,2,1
"Match.Aaai0821068","asteroidsParallel",2008,2,1
"Match.Aaai0822001","cpuSmall",2008,2,2
